Day ,Items ,Note ,Amount 
40,Rental Expense,Cash Payment - Rental - Miami,1120
40,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
40,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,260
40,Rental Expense,Cash Payment - Rental - San Francisco,2240
39,Human Resource Expense,Attended Training,15000
39,Human Resource Expense,Attended Training,15000
39,Salary Expense,Cash Payment - Salary Expense,21465
39,Shipping Expense,Cash Payment - Move Stock ID: 3519,15494
39,Interest Expense ,Cash Payment - Interest - For Overdraft,1477
39,Depreciation Expense,Non-Cash Expense - Depreciation,10000
39,Rental Expense,Cash Payment - Rental - Detroit,1200
39,Rental Expense,Cash Payment - Rental - Los Angeles,1080
39,Rental Expense,Cash Payment - Rental - Chicago,1600
39,Rental Expense,Cash Payment - Rental - New York,2680
39,Rental Expense,Cash Payment - Rental - Miami,1120
39,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
39,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,325
39,Rental Expense,Cash Payment - Rental - San Francisco,2240
38,Salary Expense,Cash Payment - Salary Expense,21465
38,Shipping Expense,Cash Payment - Move Stock ID: 6135,27972
38,Interest Expense ,Cash Payment - Interest - For Overdraft,1477
38,Depreciation Expense,Non-Cash Expense - Depreciation,10000
38,Rental Expense,Cash Payment - Rental - Detroit,1200
38,Rental Expense,Cash Payment - Rental - Los Angeles,1080
38,Rental Expense,Cash Payment - Rental - Chicago,1600
38,Rental Expense,Cash Payment - Rental - New York,2680
38,Rental Expense,Cash Payment - Rental - Miami,1120
38,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
38,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,520
38,Rental Expense,Cash Payment - Rental - San Francisco,2240
37,Salary Expense,Cash Payment - Salary Expense,21465
37,Shipping Expense,Cash Payment - Move Stock ID: 3562,8254
37,Interest Expense ,Cash Payment - Interest - For Overdraft,2504
37,Depreciation Expense,Non-Cash Expense - Depreciation,10000
37,Rental Expense,Cash Payment - Rental - Detroit,1200
37,Rental Expense,Cash Payment - Rental - Los Angeles,1080
37,Rental Expense,Cash Payment - Rental - Chicago,1600
37,Rental Expense,Cash Payment - Rental - New York,2680
37,Rental Expense,Cash Payment - Rental - Miami,1120
37,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
37,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,780
37,Rental Expense,Cash Payment - Rental - San Francisco,2240
36,Human Resource Expense,Attended Training,15000
36,Human Resource Expense,Attended Training,15000
36,Salary Expense,Cash Payment - Salary Expense,21465
36,Shipping Expense,Cash Payment - Move Stock ID: 2363,12925
36,Interest Expense ,Cash Payment - Interest - For Overdraft,3532
36,Depreciation Expense,Non-Cash Expense - Depreciation,10000
36,Rental Expense,Cash Payment - Rental - Detroit,1200
36,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,2430
36,Rental Expense,Cash Payment - Rental - Los Angeles,1080
