Day,Location ,Product ,Unit Sold ,Revenue ,COGS 
82,"Washington, D.C.",Red Wine,236,6608,2388
82,"Washington, D.C.",White Wine,199,5970,1677
82,San Francisco,Sparkling Wine,423,10998,2491
82,San Francisco,Red Wine,271,7588,2742
82,San Francisco,White Wine,272,8160,2292
81,Los Angeles,Sparkling Wine,1452,39204,8552
81,Los Angeles,Red Wine,822,24660,8320
81,Los Angeles,White Wine,787,25184,6632
81,New York,Red Wine,1160,34800,11741
81,New York,White Wine,1056,33792,8898
81,Miami,Sparkling Wine,137,3699,807
81,Miami,Red Wine,136,4080,1377
81,Miami,White Wine,134,4154,1129
81,"Washington, D.C.",Sparkling Wine,207,5589,1219
81,"Washington, D.C.",Red Wine,214,6420,2166
81,"Washington, D.C.",White Wine,195,6240,1643
81,San Francisco,Sparkling Wine,387,10449,2279
81,San Francisco,Red Wine,263,7890,2662
81,San Francisco,White Wine,256,8192,2157
80,Los Angeles,Sparkling Wine,1466,39582,8478
80,Los Angeles,Red Wine,879,26370,8897
80,Los Angeles,White Wine,818,26176,6893
80,New York,Sparkling Wine,81,2187,468
80,New York,Red Wine,1050,31500,10628
80,New York,White Wine,1014,32448,8544
80,Miami,Sparkling Wine,133,3591,769
80,Miami,Red Wine,130,3900,1316
80,Miami,White Wine,145,4495,1222
80,"Washington, D.C.",Sparkling Wine,221,5967,1278
80,"Washington, D.C.",Red Wine,202,6060,2045
80,"Washington, D.C.",White Wine,177,5664,1491
80,San Francisco,Sparkling Wine,404,10908,2336
80,San Francisco,Red Wine,255,7650,2581
80,San Francisco,White Wine,232,7424,1955
79,Los Angeles,Sparkling Wine,1458,39366,8304
79,Los Angeles,Red Wine,784,23520,7946
79,Los Angeles,White Wine,753,24096,6345
79,New York,Sparkling Wine,2018,54486,11494
79,New York,Red Wine,1035,31050,10491
79,New York,White Wine,1043,33376,8789
79,Miami,Sparkling Wine,133,3591,758
79,Miami,Red Wine,142,4260,1439
79,Miami,White Wine,144,4464,1213
79,"Washington, D.C.",Sparkling Wine,210,5670,1196
79,"Washington, D.C.",Red Wine,223,6690,2260
79,"Washington, D.C.",White Wine,197,6304,1660
79,San Francisco,Sparkling Wine,382,10314,2176
79,San Francisco,Red Wine,248,7440,2514
79,San Francisco,White Wine,229,7328,1930
78,Los Angeles,Sparkling Wine,1522,41094,8669
78,Los Angeles,Red Wine,788,23640,7623
78,Los Angeles,White Wine,745,23840,6278
78,New York,Sparkling Wine,1814,48978,10332
78,New York,Red Wine,1167,35010,11289
78,New York,White Wine,1021,32672,8603
78,Miami,Sparkling Wine,143,3861,814
78,Miami,Red Wine,138,4140,1335
78,Miami,White Wine,135,4185,1138
78,"Washington, D.C.",Sparkling Wine,210,5670,1196
78,"Washington, D.C.",Red Wine,209,6270,2022
78,"Washington, D.C.",White Wine,173,5536,1458
78,San Francisco,Sparkling Wine,357,9639,2033
78,San Francisco,Red Wine,246,7380,2380
78,San Francisco,White Wine,232,7424,1955
77,Los Angeles,Sparkling Wine,344,9288,1959
77,Los Angeles,Red Wine,195,5850,1895
77,Los Angeles,White Wine,179,5728,1511
77,New York,Sparkling Wine,467,12609,2660
77,New York,Red Wine,253,7590,2459
77,New York,White Wine,268,8576,2262
77,Miami,Sparkling Wine,34,918,194
77,Miami,Red Wine,33,990,321
77,Miami,White Wine,34,1054,287
77,"Washington, D.C.",Sparkling Wine,55,1485,313
77,"Washington, D.C.",Red Wine,53,1590,515
77,"Washington, D.C.",White Wine,48,1536,405
77,San Francisco,Sparkling Wine,96,2592,547
77,San Francisco,Red Wine,58,1740,564
77,San Francisco,White Wine,62,1984,523
76,Los Angeles,Sparkling Wine,373,10071,2125
76,Los Angeles,Red Wine,216,6480,2099
76,Los Angeles,White Wine,187,5984,1588
76,New York,Sparkling Wine,480,12960,2734
76,New York,White Wine,263,8416,2234
76,Miami,Sparkling Wine,35,945,199
76,Miami,Red Wine,31,930,301
76,Miami,White Wine,35,1085,297
76,"Washington, D.C.",Sparkling Wine,58,1566,330
76,"Washington, D.C.",Red Wine,55,1650,534
76,"Washington, D.C.",White Wine,48,1536,408
76,San Francisco,Sparkling Wine,87,2349,496
76,San Francisco,Red Wine,65,1950,632
76,San Francisco,White Wine,63,2016,535
75,Los Angeles,Sparkling Wine,399,10773,2273
75,Los Angeles,Red Wine,210,6300,2041
75,Los Angeles,White Wine,207,6624,1758
75,New York,Sparkling Wine,495,13365,2819
75,New York,Red Wine,145,4350,1409
75,New York,White Wine,268,8576,2277
75,Miami,Sparkling Wine,33,891,188
75,Miami,Red Wine,33,990,321
75,Miami,White Wine,36,1116,306
75,"Washington, D.C.",Sparkling Wine,55,1485,313
75,"Washington, D.C.",Red Wine,56,1680,544
75,"Washington, D.C.",White Wine,45,1440,382
75,San Francisco,Sparkling Wine,99,2673,564
75,San Francisco,Red Wine,62,1860,603
75,San Francisco,White Wine,57,1824,484
74,Los Angeles,Sparkling Wine,387,10449,2191
74,Los Angeles,Red Wine,216,6480,2099
74,Los Angeles,White Wine,189,6048,1605
74,New York,Sparkling Wine,498,13446,2819
74,New York,Red Wine,282,8460,2741
74,New York,White Wine,253,8096,2149
74,Miami,Sparkling Wine,32,864,181
74,Miami,Red Wine,32,960,311
74,Miami,White Wine,35,1085,297
74,"Washington, D.C.",Sparkling Wine,50,1350,283
74,"Washington, D.C.",Red Wine,53,1590,515
74,"Washington, D.C.",White Wine,45,1440,382
74,San Francisco,Sparkling Wine,91,2457,515
74,San Francisco,Red Wine,57,1710,554
74,San Francisco,White Wine,61,1952,518
73,Los Angeles,Sparkling Wine,391,10557,2016
73,Los Angeles,Red Wine,214,6420,2080
73,Los Angeles,White Wine,199,6368,1690
73,New York,Sparkling Wine,475,12825,2449
73,New York,Red Wine,260,7800,2527
73,New York,White Wine,260,8320,2209
73,Miami,Sparkling Wine,36,972,186
73,Miami,Red Wine,32,960,311
73,Miami,White Wine,33,1023,280
73,"Washington, D.C.",Sparkling Wine,53,1431,273
73,"Washington, D.C.",Red Wine,56,1680,544
73,"Washington, D.C.",White Wine,47,1504,399
73,San Francisco,Sparkling Wine,97,2619,500
73,San Francisco,Red Wine,65,1950,632
73,San Francisco,White Wine,65,2080,552
72,Los Angeles,Sparkling Wine,365,9855,1828
72,Los Angeles,Red Wine,216,6480,2101
72,Los Angeles,White Wine,193,6176,1639
72,New York,Sparkling Wine,513,13851,2570
72,New York,Red Wine,293,8790,2850
72,New York,White Wine,245,7840,2081
72,Miami,Sparkling Wine,32,864,160
72,Miami,Red Wine,31,930,302
72,Miami,White Wine,34,1054,289
72,"Washington, D.C.",Sparkling Wine,51,1377,255
72,"Washington, D.C.",Red Wine,51,1530,496
72,"Washington, D.C.",White Wine,47,1504,399
72,San Francisco,Sparkling Wine,100,2700,501
72,San Francisco,Red Wine,62,1860,603
72,San Francisco,White Wine,62,1984,527
71,Los Angeles,Sparkling Wine,339,9831,1698
71,Los Angeles,Red Wine,174,5568,1702
71,Los Angeles,White Wine,182,6188,1552
71,New York,Sparkling Wine,427,12383,2139
71,New York,Red Wine,258,8256,2523
71,New York,White Wine,246,8364,2098
71,Miami,Sparkling Wine,32,928,160
71,Miami,Red Wine,28,896,274
71,Miami,White Wine,29,986,247
71,"Washington, D.C.",Sparkling Wine,46,1334,230
71,"Washington, D.C.",Red Wine,48,1536,469
71,"Washington, D.C.",White Wine,42,1428,358
71,San Francisco,Sparkling Wine,84,2436,421
71,San Francisco,Red Wine,52,1664,509
71,San Francisco,White Wine,54,1836,461
70,Los Angeles,Sparkling Wine,349,10121,1748
